[Name],[Layer],[Head],[Timestamp],Top 1,Top 2,Top 3,Top 4,Top 5,Top 6,Top 7,Top 8,Top 9,Top 10,Top 11,Top 12,Top 13,Top 14,Top 15,Top 16,Top 17,Top 18,Top 19,Top 20,Top 21,Top 22,Top 23,Top 24,Top 25,Top 26,Top 27,Top 28,Top 29,Top 30,Top 31,Top 32,Top 33,Top 34
up_cross,0,3,14,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Geo-locations,Musical Instruments,Clothing,Vehicles,Sports Equipment,Fruits and Vegetables,Tools,Buildings,Image Style,Shape,Nature Scenes,Facial Features,Geometric Patterns,Furniture,People,Material,Weather Conditions,Written Characters,Plants,Time of Day,Lighting Conditions,Poses and Gestures,Color,Animals,Facial Expressions,Size,Texture,Counting
up_cross,0,3,15,Brand Logos,Electronics,Accessories,Toys,Food and Beverages,Geo-locations,Books and Documents,Musical Instruments,Vehicles,Sports Equipment,Shape,Clothing,Tools,Buildings,Image Style,Fruits and Vegetables,Geometric Patterns,Furniture,Facial Features,Nature Scenes,Material,Weather Conditions,People,Plants,Poses and Gestures,Time of Day,Written Characters,Animals,Lighting Conditions,Size,Color,Facial Expressions,Counting,Texture
up_cross,0,3,16,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Clothing,Geo-locations,Musical Instruments,Vehicles,Sports Equipment,Image Style,Tools,Buildings,Shape,Fruits and Vegetables,Nature Scenes,Furniture,Facial Features,Geometric Patterns,People,Material,Weather Conditions,Time of Day,Plants,Size,Written Characters,Poses and Gestures,Lighting Conditions,Animals,Facial Expressions,Texture,Counting,Color
up_cross,0,3,17,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Clothing,Geo-locations,Musical Instruments,Vehicles,Sports Equipment,Image Style,Tools,Buildings,Shape,Nature Scenes,Fruits and Vegetables,Geometric Patterns,Furniture,Facial Features,People,Weather Conditions,Written Characters,Material,Time of Day,Lighting Conditions,Animals,Plants,Poses and Gestures,Facial Expressions,Color,Size,Texture,Counting
up_cross,0,3,18,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Clothing,Musical Instruments,Geo-locations,Sports Equipment,Vehicles,Fruits and Vegetables,Shape,Buildings,Tools,Image Style,Nature Scenes,Geometric Patterns,Furniture,Facial Features,People,Material,Weather Conditions,Plants,Animals,Time of Day,Lighting Conditions,Written Characters,Facial Expressions,Texture,Poses and Gestures,Color,Counting,Size
up_cross,0,3,19,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Geo-locations,Musical Instruments,Clothing,Buildings,Sports Equipment,Vehicles,Shape,Tools,Fruits and Vegetables,Nature Scenes,Image Style,Geometric Patterns,Facial Features,Furniture,People,Material,Weather Conditions,Animals,Written Characters,Time of Day,Plants,Lighting Conditions,Size,Texture,Color,Facial Expressions,Poses and Gestures,Counting
up_cross,0,3,20,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Geo-locations,Vehicles,Musical Instruments,Shape,Buildings,Tools,Clothing,Fruits and Vegetables,Sports Equipment,Image Style,Facial Features,Geometric Patterns,Furniture,People,Nature Scenes,Material,Animals,Weather Conditions,Time of Day,Plants,Poses and Gestures,Lighting Conditions,Written Characters,Size,Texture,Facial Expressions,Color,Counting
up_cross,0,3,21,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Geo-locations,Books and Documents,Vehicles,Musical Instruments,Clothing,Tools,Sports Equipment,Shape,Fruits and Vegetables,Buildings,Image Style,Facial Features,Geometric Patterns,Furniture,Material,Nature Scenes,People,Weather Conditions,Time of Day,Size,Lighting Conditions,Plants,Animals,Color,Written Characters,Poses and Gestures,Facial Expressions,Counting,Texture
up_cross,0,3,22,Brand Logos,Electronics,Accessories,Food and Beverages,Toys,Books and Documents,Geo-locations,Musical Instruments,Sports Equipment,Clothing,Vehicles,Tools,Fruits and Vegetables,Image Style,Buildings,Shape,Nature Scenes,Facial Features,Furniture,Material,Weather Conditions,People,Geometric Patterns,Plants,Time of Day,Poses and Gestures,Size,Written Characters,Animals,Lighting Conditions,Facial Expressions,Texture,Color,Counting
up_cross,0,3,23,Brand Logos,Electronics,Accessories,Toys,Food and Beverages,Books and Documents,Geo-locations,Musical Instruments,Clothing,Vehicles,Sports Equipment,Tools,Shape,Buildings,Image Style,Fruits and Vegetables,Nature Scenes,Geometric Patterns,Facial Features,Furniture,People,Weather Conditions,Material,Lighting Conditions,Plants,Size,Time of Day,Written Characters,Animals,Facial Expressions,Texture,Color,Counting,Poses and Gestures
